control_variant,control_role,control_columns,outcome,horizon,beta,se,lower95,upper95,n,spec_name,shock_column,shock_scale,response_type
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,total_deposits_bank_qoq,0,28.95006368418275,13.625048119004301,2.244969370934321,55.65515799743118,119,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,total_deposits_bank_qoq,1,44.45196715467209,33.02376942088602,-20.274620910264503,109.17855521960868,118,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,total_deposits_bank_qoq,2,41.5026075787145,43.61215019770538,-43.97720680878804,126.98242196621705,117,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,total_deposits_bank_qoq,3,58.59828794606983,51.85870771996211,-43.0447791850559,160.24135507719558,116,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,total_deposits_bank_qoq,4,71.79333642998903,61.72917014443666,-49.19583705310683,192.78250991308488,115,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,total_deposits_bank_qoq,5,51.03649376811648,65.57587681116931,-77.49222478177535,179.56521231800832,114,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,total_deposits_bank_qoq,6,30.82706261034538,68.26399207786814,-102.97036186227616,164.62448708296694,113,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,total_deposits_bank_qoq,7,43.66277889572578,73.6704253132131,-100.7312547181719,188.05681250962346,112,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,total_deposits_bank_qoq,8,51.06433451600243,77.49350708209145,-100.82293936489681,202.9516083969017,111,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,other_component_qoq,0,-56.223002789186694,12.517283696834168,-80.75687883498166,-31.689126743391725,119,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
