treatment_variant,treatment_role,treatment_family,target,outcome,horizon,beta,se,lower95,upper95,n,spec_name,shock_column,decomposition_mode,outcome_construction,inference_method
broad_depository,exploratory,measurement,tdc_broad_depository_qoq,tdc_broad_depository_qoq,0,44.763999175858444,22.04978474342404,16.79437752690452,86.7855706467259,67,identity_measurement_ladder,tdc_broad_depository_residual_z,exact_identity_baseline,estimated_common_design,circular_block_bootstrap_4q_40reps
broad_depository,exploratory,measurement,tdc_broad_depository_qoq,total_deposits_bank_qoq,0,29.388253938046024,13.059553705638164,11.419521519761961,60.16205602191386,67,identity_measurement_ladder,tdc_broad_depository_residual_z,exact_identity_baseline,estimated_common_design,circular_block_bootstrap_4q_40reps
broad_depository,exploratory,measurement,tdc_broad_depository_qoq,other_component_qoq,0,-15.37574523781242,19.38295171436612,-66.45205117713527,4.299721629908531,67,identity_measurement_ladder,tdc_broad_depository_residual_z,exact_identity_baseline,derived_total_minus_tdc,circular_block_bootstrap_4q_40reps
broad_depository,exploratory,measurement,tdc_broad_depository_qoq,tdc_broad_depository_qoq,1,63.42541222426287,41.30345313575511,19.937312663093568,138.14577151326498,66,identity_measurement_ladder,tdc_broad_depository_residual_z,exact_identity_baseline,estimated_common_design,circular_block_bootstrap_4q_40reps
broad_depository,exploratory,measurement,tdc_broad_depository_qoq,total_deposits_bank_qoq,1,56.83903291013173,47.434437752324314,11.895439685548556,170.4775992492542,66,identity_measurement_ladder,tdc_broad_depository_residual_z,exact_identity_baseline,estimated_common_design,circular_block_bootstrap_4q_40reps
broad_depository,exploratory,measurement,tdc_broad_depository_qoq,other_component_qoq,1,-6.586379314131143,33.176120856540805,-77.97699031599922,52.11820522959634,66,identity_measurement_ladder,tdc_broad_depository_residual_z,exact_identity_baseline,derived_total_minus_tdc,circular_block_bootstrap_4q_40reps
broad_depository,exploratory,measurement,tdc_broad_depository_qoq,tdc_broad_depository_qoq,2,79.44542763291622,44.82208800890954,21.34658882690232,200.4568625561483,65,identity_measurement_ladder,tdc_broad_depository_residual_z,exact_identity_baseline,estimated_common_design,circular_block_bootstrap_4q_40reps
broad_depository,exploratory,measurement,tdc_broad_depository_qoq,total_deposits_bank_qoq,2,69.67889478995248,52.70958188837803,23.60065702931268,245.95913219033847,65,identity_measurement_ladder,tdc_broad_depository_residual_z,exact_identity_baseline,estimated_common_design,circular_block_bootstrap_4q_40reps
broad_depository,exploratory,measurement,tdc_broad_depository_qoq,other_component_qoq,2,-9.766532842963741,30.590825750369717,-60.30890698301416,57.8338132047785,65,identity_measurement_ladder,tdc_broad_depository_residual_z,exact_identity_baseline,derived_total_minus_tdc,circular_block_bootstrap_4q_40reps
broad_depository,exploratory,measurement,tdc_broad_depository_qoq,tdc_broad_depository_qoq,3,70.76686548287935,57.77798811023675,-5.489080820004058,182.7845875636958,64,identity_measurement_ladder,tdc_broad_depository_residual_z,exact_identity_baseline,estimated_common_design,circular_block_bootstrap_4q_40reps
