outcome,horizon,beta,se,lower95,upper95,n,spec_name,shock_column,shock_scale,response_type,decomposition_mode,outcome_construction,inference_method
tdc_bank_only_qoq,0,86.08814077380539,25.27141995473617,76.91378655770903,178.46273021278503,119,identity_baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h,exact_identity_baseline,estimated_common_design,nested_circular_block_bootstrap_4q_250reps
total_deposits_bank_qoq,0,37.977694851980814,23.64868644238564,18.533147755076495,105.12950063583395,119,identity_baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h,exact_identity_baseline,estimated_common_design,nested_circular_block_bootstrap_4q_250reps
other_component_qoq,0,-48.11044592182458,25.543877643105976,-110.90302316729972,-14.172921571377426,119,identity_baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h,exact_identity_baseline,derived_total_minus_tdc,nested_circular_block_bootstrap_4q_250reps
tdc_bank_only_qoq,1,115.95916898888741,40.54165065428436,81.64442436688431,239.23190477466022,118,identity_baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h,exact_identity_baseline,estimated_common_design,nested_circular_block_bootstrap_4q_250reps
total_deposits_bank_qoq,1,54.73477407890318,58.76473001241558,-2.509598122727199,227.63820545891053,118,identity_baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h,exact_identity_baseline,estimated_common_design,nested_circular_block_bootstrap_4q_250reps
other_component_qoq,1,-61.224394909984234,53.374915331781295,-155.62502451946935,53.190240177903334,118,identity_baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h,exact_identity_baseline,derived_total_minus_tdc,nested_circular_block_bootstrap_4q_250reps
tdc_bank_only_qoq,2,146.89154006334346,64.08196429590724,98.84227170949558,330.91250416646955,117,identity_baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h,exact_identity_baseline,estimated_common_design,nested_circular_block_bootstrap_4q_250reps
total_deposits_bank_qoq,2,57.85894107860278,67.28134498313838,-23.074671487200487,240.13396302469909,117,identity_baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h,exact_identity_baseline,estimated_common_design,nested_circular_block_bootstrap_4q_250reps
other_component_qoq,2,-89.03259898474067,61.43490172167638,-225.04615701552183,31.80595829901231,117,identity_baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h,exact_identity_baseline,derived_total_minus_tdc,nested_circular_block_bootstrap_4q_250reps
tdc_bank_only_qoq,3,144.51010865008578,72.29323561467513,81.82744634831472,339.2516301964738,116,identity_baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h,exact_identity_baseline,estimated_common_design,nested_circular_block_bootstrap_4q_250reps
