regime,outcome,horizon,beta,se,lower95,upper95,n,spec_name,shock_column,shock_scale,response_type
reserve_drain_high,tdc_bank_only_qoq,0,119.51197420137792,18.828863451828038,82.60740183579497,156.41654656696087,46,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,tdc_bank_only_qoq,1,142.42786155193113,33.23487111448366,77.28751416754316,207.56820893631908,45,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,tdc_bank_only_qoq,2,188.9630734031013,30.9199453367999,128.35998054297352,249.5661662632291,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,tdc_bank_only_qoq,3,181.81402526197195,36.62841537073972,110.0223311353221,253.6057193886218,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,tdc_bank_only_qoq,4,198.446552455811,51.0970488719337,98.29633666682095,298.59676824480107,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,tdc_bank_only_qoq,5,172.8326439988748,77.88036011203593,20.187138179284375,325.4781498184652,43,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,tdc_bank_only_qoq,6,175.74329270712224,102.10800876920158,-24.38840448051286,375.87498989475733,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,tdc_bank_only_qoq,7,143.1526099239333,120.20745759908768,-92.45400697027853,378.7592268181452,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,tdc_bank_only_qoq,8,129.76669207184284,130.30173552807202,-125.6247095631783,385.15809370686395,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,total_deposits_bank_qoq,0,24.365009845934253,21.270219738940852,-17.32462084238982,66.05464053425833,46,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,total_deposits_bank_qoq,1,67.19324599279808,53.388867672730576,-37.44893464575385,171.83542663135,45,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,total_deposits_bank_qoq,2,95.05576832862798,78.1571784422614,-58.13230141820435,248.2438380754603,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,total_deposits_bank_qoq,3,74.99093633827087,68.53537205375378,-59.33839288708651,209.32026556362825,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,total_deposits_bank_qoq,4,87.42589095130248,77.31324872128083,-64.10807654240796,238.9598584450129,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,total_deposits_bank_qoq,5,81.6328973232104,100.98800536516046,-116.3035931925041,279.5693878389249,43,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,total_deposits_bank_qoq,6,39.99777864452542,102.21054993129391,-160.33489922081063,240.33045650986148,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,total_deposits_bank_qoq,7,29.17779914922687,109.05288059842276,-184.56584682368174,242.92144512213548,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,total_deposits_bank_qoq,8,18.67311154724389,133.6355181350244,-243.25250399740395,280.5987270918917,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_deposits_bank_qoq,0,17.207496232990238,14.608515839615121,-11.425194812655398,45.840187278635874,46,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_deposits_bank_qoq,1,2.2319311306369727,38.80828485320912,-73.83230718165291,78.29616944292684,45,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_deposits_bank_qoq,2,59.39301412550705,38.14436746160398,-15.369946099236742,134.15597435025086,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_deposits_bank_qoq,3,79.58258294389356,46.7160669626632,-11.98090830292631,171.14607419071342,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_deposits_bank_qoq,4,95.79105613127032,70.12300707104669,-41.650037727981186,233.23214999052183,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_deposits_bank_qoq,5,119.60348363707689,85.47525851071019,-47.92802304391509,287.13499031806884,43,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_deposits_bank_qoq,6,119.23515316933995,103.22045713000313,-83.07694280546616,321.54724914414606,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_deposits_bank_qoq,7,110.30443495062839,106.54861458278188,-98.5308496316241,319.13971953288086,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_deposits_bank_qoq,8,87.73039019217305,127.835848531213,-162.82787292900443,338.28865331335055,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_bank_qoq,0,11.929857066877933,3.0681205319490283,5.916340824257837,17.94337330949803,46,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_bank_qoq,1,15.141860558534091,7.671365733988528,0.10598371991657629,30.177737397151606,45,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_bank_qoq,2,27.98723153027722,9.947969157609934,8.489211981361748,47.48525107919269,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_bank_qoq,3,5.8170537097761965,11.637384397765276,-16.992219709843745,28.626327129396138,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_bank_qoq,4,10.527024595309577,18.511726882843,-25.755960095062704,46.81000928568186,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_bank_qoq,5,-2.500111193030511,16.930571096670455,-35.6840305425046,30.683808156443575,43,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_bank_qoq,6,11.64104769756188,13.562240264426956,-14.940943220714953,38.22303861583872,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_bank_qoq,7,17.19447782870803,13.211342813255172,-8.699754085272104,43.08870974268817,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_bank_qoq,8,23.37771455830091,15.697585406974127,-7.389552839368381,54.144981955970195,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,time_savings_deposits_bank_qoq,0,-15.108862560191103,14.561654504930473,-43.64970538985483,13.431980269472625,46,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,time_savings_deposits_bank_qoq,1,48.895276174430805,53.50227429538124,-55.96918144451642,153.75973379337802,45,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,time_savings_deposits_bank_qoq,2,22.7670218071591,50.176807492088315,-75.579520877334,121.1135644916522,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,time_savings_deposits_bank_qoq,3,10.926718261570027,41.80865158072436,-71.01823883664972,92.87167535978978,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,time_savings_deposits_bank_qoq,4,-20.06395036415524,37.209928732262185,-92.99541067938912,52.86750995107864,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,time_savings_deposits_bank_qoq,5,-2.576020016745346,44.507168153166994,-89.81006959695266,84.65802956346197,43,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,time_savings_deposits_bank_qoq,6,-34.3681666220631,41.112800643877776,-114.94925588406353,46.21292263993733,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,time_savings_deposits_bank_qoq,7,-52.85111569994949,50.99134709550124,-152.7941560071319,47.09192460723294,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,time_savings_deposits_bank_qoq,8,-37.69311530052289,49.454130664795755,-134.6232114035226,59.23698080247679,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_federal_govt_bank_qoq,0,-1.5102803646239098,1.3725631668885692,-4.200504171725505,1.1799434424776856,46,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_federal_govt_bank_qoq,1,-0.6372328858653189,0.5925793911208214,-1.7986884924621287,0.5242227207314909,45,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_federal_govt_bank_qoq,2,0.8166956582836629,0.5607077139047114,-0.2822914609695715,1.9156827775368972,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_federal_govt_bank_qoq,3,0.9281668771118815,0.6847133337168073,-0.4138712569730608,2.2702050111968237,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_federal_govt_bank_qoq,4,0.6385799803944057,0.79771805121664,-0.9249473999902087,2.20210736077902,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_federal_govt_bank_qoq,5,1.862504229670024,1.534396896645993,-1.1449136877561223,4.869922147096171,43,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_federal_govt_bank_qoq,6,2.4439485210358867,1.6760622820021416,-0.8411335516883107,5.7290305937600845,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_federal_govt_bank_qoq,7,1.2466324649845058,0.842481616424403,-0.404631503207324,2.8978964331763355,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_federal_govt_bank_qoq,8,0.934826610529591,0.831902727421292,-0.6957027352161413,2.565355956275323,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_state_local_bank_qoq,0,2.2241027946003853,1.2468216210440726,-0.21966758264599706,4.667873171846768,46,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_state_local_bank_qoq,1,2.175862471567596,1.6460915708338892,-1.050477007266827,5.402201950402019,45,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_state_local_bank_qoq,2,4.437543797552437,2.6411548458181007,-0.7391197002510399,9.614207295355914,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_state_local_bank_qoq,3,5.9388777679939935,2.9142873809565666,0.22687450131912268,11.650881034668863,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_state_local_bank_qoq,4,7.7165969892121415,4.280359273995687,-0.6729071878194057,16.10610116624369,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_state_local_bank_qoq,5,9.34824590937444,5.49691433098739,-1.4257061793608443,20.122197998109723,43,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_state_local_bank_qoq,6,10.292141864919335,7.068860021955018,-3.5628237781125005,24.14710750795117,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_state_local_bank_qoq,7,9.816249377795742,7.430521064028188,-4.7475719076995055,24.38007066329099,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_state_local_bank_qoq,8,10.162116219197724,8.200857012139174,-5.911563524595056,26.235795962990505,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_rest_of_world_bank_qoq,0,0.023453059155292222,0.7941731493923703,-1.5331263136537536,1.580032431964338,46,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_rest_of_world_bank_qoq,1,0.587573007131968,0.9822890286717689,-1.3377134890646991,2.5128595033286354,45,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_rest_of_world_bank_qoq,2,2.0577798983825906,0.7951498982527545,0.4992860978071918,3.6162736989579893,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_rest_of_world_bank_qoq,3,0.3049317954162638,0.8794138416009964,-1.4187193341216893,2.028582924954217,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_rest_of_world_bank_qoq,4,1.313801668746776,0.7921974412866836,-0.23890531617512378,2.8665086536686757,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_rest_of_world_bank_qoq,5,0.7197803842582603,1.2577347408955097,-1.7453797078969386,3.1849404764134595,43,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_rest_of_world_bank_qoq,6,2.513783423092503,0.873393582483639,0.8019320014245706,4.225634844760435,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_rest_of_world_bank_qoq,7,2.5956783099692764,1.0326231716669847,0.5717368935019866,4.619619726436566,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_rest_of_world_bank_qoq,8,2.2108442074489183,1.1038039312026566,0.04738850229171154,4.374299912606125,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_private_domestic_bank_qoq,0,17.48087358968793,13.510059863444134,-8.998843742662572,43.960590922038435,46,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_private_domestic_bank_qoq,1,0.47689552458763274,36.4410573686307,-70.94757691792854,71.90136796710381,45,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_private_domestic_bank_qoq,2,50.77606361844125,33.94168159374793,-15.749632305304694,117.3017595421872,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_private_domestic_bank_qoq,3,71.5898373553949,42.438249420339844,-11.589131508471183,154.768806219261,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_private_domestic_bank_qoq,4,85.8974521426464,62.847298247944096,-37.28325242332403,209.07815670861683,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_private_domestic_bank_qoq,5,105.52138638030685,77.48097392680461,-46.34132251623019,257.3840952768439,43,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_private_domestic_bank_qoq,6,100.19666522762472,92.02370566555886,-80.16979787687066,280.5631283321201,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_private_domestic_bank_qoq,7,93.70336856173799,94.52080566887392,-91.55741054925488,278.96414767273086,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,checkable_private_domestic_bank_qoq,8,72.80505744681965,116.06922071541418,-154.69061515539215,300.3007300490314,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_foreign_banks_liability_qoq,0,10.931324497164786,2.826806073232021,5.390784593630025,16.471864400699545,46,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_foreign_banks_liability_qoq,1,19.36761355344287,4.081598989044036,11.367679534916558,27.36754757196918,45,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_foreign_banks_liability_qoq,2,22.80270164050867,6.6682377441608836,9.732955661953337,35.872447619064005,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_foreign_banks_liability_qoq,3,15.479618466455292,5.340403149881129,5.012428292688279,25.946808640222308,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_foreign_banks_liability_qoq,4,20.5022829311328,8.983047291402848,2.8955102399832207,38.10905562228238,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_foreign_banks_liability_qoq,5,13.98185525763795,8.313116585801684,-2.31185325053335,30.27556376580925,43,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_foreign_banks_liability_qoq,6,8.72751989619032,8.291262032799429,-7.5233536880965595,24.978393480477198,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_foreign_banks_liability_qoq,7,6.267772373453218,8.904777660729073,-11.185591841575762,23.721136588482196,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_foreign_banks_liability_qoq,8,8.628051086925705,7.145054590881402,-5.3762559112018415,22.63235808505325,42,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_foreign_banks_asset_qoq,0,1.2436963761686197,2.273278066330474,-3.2119286338391086,5.699321386176348,46,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_foreign_banks_asset_qoq,1,11.211974736144668,3.7565727071980803,3.8490922300364314,18.574857242252904,45,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_foreign_banks_asset_qoq,2,13.086158991372235,4.581831371674004,4.105769502891189,22.06654847985328,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_foreign_banks_asset_qoq,3,15.794701089932875,6.258744467784826,3.527561933074617,28.061840246791135,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_foreign_banks_asset_qoq,4,26.42325007010391,7.318704169221508,12.078589898429756,40.76791024177807,44,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
reserve_drain_high,interbank_transactions_foreign_banks_asset_qoq,5,28.18912059093725,8.429131905172582,11.66802205679899,44.71021912507551,43,regimes,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
