outcome,horizon,beta,se,lower95,upper95,n,spec_name,shock_column,shock_scale,response_type
other_component_qoq,0,-81.17833439216739,20.0820892829219,-120.5392293866943,-41.81743939764046,68,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
other_component_qoq,1,-88.82606789492539,46.7856406435434,-180.52592355627047,2.8737877664196816,67,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
other_component_qoq,2,-123.69489944670931,54.00047670443747,-229.53583378740674,-17.853965106011884,66,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
other_component_qoq,3,-79.53645463467396,53.3333196550374,-184.06976115854727,24.99685188919935,65,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
other_component_qoq,4,-100.99420217322485,48.95277771700572,-196.94164649855605,-5.04675784789363,64,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
other_component_qoq,5,-124.35531874302845,43.78055481644744,-210.1652061832654,-38.54543130279147,63,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
other_component_qoq,6,-203.55104143815012,45.991180727100364,-293.6937556632668,-113.40832721303342,62,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
other_component_qoq,7,-199.05341905551376,52.63931827861268,-302.2264828815946,-95.88035522943291,61,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
other_component_qoq,8,-230.24311066594336,57.831467849285815,-343.5927876505435,-116.89343368134317,60,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_source_qoq,0,-19.97313706640162,8.896555846407024,-37.410386525359385,-2.535887607443854,68,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_source_qoq,1,-16.80509310603452,10.034464624999032,-36.47264377103262,2.862457558963584,67,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
