quarter,tdc_bank_only_qoq,total_deposits_bank_qoq,other_component_qoq
2003Q3,68.404,32.068,-36.336
2004Q1,174.205,139.663,-34.542
2005Q1,113.973,88.936,-25.036999999999992
2007Q1,116.558,79.847,-36.71100000000001
2008Q2,-42.974,-56.602,-13.628
2009Q1,347.617,11.954,-335.663
2009Q2,238.732,-192.748,-431.48
2009Q3,313.482,-43.733,-357.21500000000003
2009Q4,217.706,82.57,-135.136
2010Q1,222.035,-136.092000000001,-358.127000000001
2010Q2,39.055,-8.183999999999,-47.238999999998995
2010Q3,361.128,62.049999999999,-299.078000000001
2010Q4,310.987,149.833000000001,-161.15399999999903
2011Q1,682.672,123.082,-559.59
2011Q2,350.428,115.940000000001,-234.48799999999898
2012Q1,308.608,-22.603999999999,-331.211999999999
2012Q2,94.817,16.057999999999,-78.759000000001
2012Q3,225.022,183.895,-41.12699999999998
2013Q1,322.633,63.078000000001,-259.554999999999
2013Q2,55.256,-52.040000000001,-107.296000000001
2013Q3,263.539,224.601000000001,-38.93799999999899
2013Q4,311.364,254.384,-56.97999999999999
2014Q1,325.549,99.454,-226.09499999999997
2014Q2,166.085,134.125,-31.960000000000008
2014Q3,181.182,52.824000000001,-128.35799999999898
2015Q2,-48.123,-59.013999999999,-10.890999999999003
2017Q1,388.612,186.433000000001,-202.17899999999904
2017Q3,191.496,102.518,-88.97800000000001
2019Q1,161.574,73.829000000002,-87.74499999999802
2020Q3,378.459,143.220000000001,-235.238999999999
2021Q1,1177.583,606.004999999997,-571.578000000003
2021Q2,749.164,233.225000000002,-515.938999999998
2021Q3,1104.076,446.413,-657.663
2022Q2,-48.365,-321.316000000003,-272.951000000003
2022Q3,130.114,-183.255999999998,-313.369999999998
2022Q4,33.503,-142.552,-176.055
2023Q1,153.439,-124.405000000002,-277.844000000002
2024Q2,-59.577,-194.300999999999,-134.723999999999
2024Q4,207.499,197.203000000001,-10.295999999998998
2025Q1,543.292,156.194,-387.09800000000007
2025Q2,112.379,109.056,-3.3230000000000075
