treatment_variant,treatment_role,treatment_family,outcome,horizon,beta,se,lower95,upper95,n,spec_name,shock_column,shock_scale,response_type
baseline,core,headline,tdc_bank_only_qoq,0,86.40614825222241,14.30580501634036,58.36677042019531,114.44552608424951,119,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,tdc_bank_only_qoq,1,116.23319386720691,23.500698603790333,70.17182460377785,162.29456313063596,118,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,tdc_bank_only_qoq,2,146.72878681649843,37.04062554548751,74.12916074734291,219.32841288565396,117,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,tdc_bank_only_qoq,3,143.48014767797653,41.43566407907933,62.26624608298104,224.69404927297202,116,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,tdc_bank_only_qoq,4,171.1299956736424,50.799664427040845,71.56265339664236,270.69733795064246,115,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,tdc_bank_only_qoq,5,171.65994022202523,59.54643207988179,54.94893334545692,288.37094709859355,114,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,tdc_bank_only_qoq,6,190.5822394517748,73.54609817600932,46.43188702679652,334.7325918767531,113,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,tdc_bank_only_qoq,7,194.62672445424678,80.12682845211177,37.57814068810774,351.67530822038583,112,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,tdc_bank_only_qoq,8,215.00479779082133,82.48616273206042,53.33191883598292,376.6776767456597,111,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,total_deposits_bank_qoq,0,28.768499881256375,13.69466304984466,1.9269603035608398,55.61003945895191,119,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
